titles,descriptions,links,pubDates
 How Filip Kostic became the modern Bundesliga wingback," Eintracht Frankfurt are in the final four of the Europa League, and they couldn't have done it without Kostic. It's not always been easy, but Jasmine Baba explains how the club got the best out of their Serbian winger.", https://www.dw.com/en/how-filip-kostic-became-the-modern-bundesliga-wingback/a-61593858?maca=en-rss-en-all-1573-rdf, 2022-04-26T10:18:00Z
 Scientists sound alarm bells on noise pollution," The rumble of road traffic and trains, the bustle of the bar downstairs or the roar of a plane taking off - noise is a problem that is increasingly hurting health and disrupting ecosystems.", https://www.dw.com/en/scientists-sound-alarm-bells-on-noise-pollution/a-61582252?maca=en-rss-en-all-1573-rdf, 2022-04-26T09:44:00Z
 Afghan women athletes: prisoners in their own homes," It's eight months since the Taliban took control of Afghanistan and the country has slipped down the news agenda. 'The world forgets about us,' says Friba Rezayee, the first Afghan woman to compete at the Olympics.", https://www.dw.com/en/afghan-women-athletes-prisoners-in-their-own-homes/a-61586041?maca=en-rss-en-all-1573-rdf, 2022-04-25T14:11:00Z
 RECOMMENDED — What does a US cryptocurrency firm want from a lower-tier UK football club?," Crawley Town have become the first professional football club to be bought by a cryptocurrency firm. The new owners promise to ""shake up the status quo"" and recruit global fans with NFTs. Is this new dawn what it seems?", https://www.dw.com/en/recommended-what-does-a-us-cryptocurrency-firm-want-from-a-lower-tier-uk-football-club/a-61554929?maca=en-rss-en-all-1573-rdf, 2022-04-25T09:13:00Z
 Beyond ecology: The trees at the heart of our culture," From Ireland to the Amazon to Kenya, trees can hold traditional or even sacred value. DW takes a look at trees and forests of cultural importance to communities around the world. Some are under threat.", https://www.dw.com/en/beyond-ecology-the-trees-at-the-heart-of-our-culture/a-61554900?maca=en-rss-en-all-1573-rdf, 2022-04-25T08:31:00Z
 Opinion: Bayern Munich's 10th title - joy or relief?," Bayern Munich have won their 10th straight Bundesliga title, sparking renewed conversation about the competitive issues at the top of German football. Perhaps the biggest concern though, is the question of fun.", https://www.dw.com/en/opinion-bayern-munich-s-10th-title-joy-or-relief/a-61568379?maca=en-rss-en-all-1573-rdf, 2022-04-23T20:20:00Z
 Bundesliga: Bayern Munich's 10th title prompts celebration — but also concern," Ten league titles in a row should be cause for celebration, one might think. But Bayern Munich's latest triumph is accompanied by acute concern, both in Munich and further afield.", https://www.dw.com/en/bundesliga-bayern-munich-s-10th-title-prompts-celebration-but-also-concern/a-61569770?maca=en-rss-en-all-1573-rdf, 2022-04-23T19:21:00Z
 EU reaches deal on major law aiming to regulate tech giants," As per the Digital Services Act (DSA), tech giants such as Facebook and Google will be expected to moderate illegal content on their platforms. It's the second part of the bloc's project seeking to rein in tech giants.", https://www.dw.com/en/eu-reaches-deal-on-major-law-aiming-to-regulate-tech-giants/a-61566323?maca=en-rss-en-all-1573-rdf, 2022-04-23T03:01:00Z
 Shanghai COVID lockdown threatens new export delays, Nearly a third of goods leaving the Port of Shanghai are held up due to a strict COVID lockdown. The delays are set to exacerbate a supply chain crisis that has caused shortages and price rises across the world., https://www.dw.com/en/shanghai-covid-lockdown-threatens-new-export-delays/a-61557795?maca=en-rss-en-all-1573-rdf, 2022-04-22T17:54:00Z
 Let's talk about salt — how unhealthy is it really?, Most people consume too much salt — with potentially massive effects for their health. But it's possible to find a healthy balance., https://www.dw.com/en/let-s-talk-about-salt-how-unhealthy-is-it-really/a-61560081?maca=en-rss-en-all-1573-rdf, 2022-04-22T15:09:00Z
