name,latitude,longitude,inf_type
Novoklenove,45.0083294,34.4975538,City/Town
Ovrazhky,44.9675187,34.4373687,City/Town
Oleksandrivka,45.024003,34.5297277,City/Town
Pasichne,44.9885868,34.4225179,City/Town
Pcholyne,44.9344904,34.5438634,City/Town
Yakovlivka,44.9857682,34.4592518,City/Town
Zemlianychne,44.9745292,34.8377863,City/Town
Olenivka,44.9891774,34.829134,City/Town
Opytne,44.9986389,34.9006321,City/Town
Radisne,44.9963663,34.8440758,City/Town
Rodnyky,44.9948614,34.7985079,City/Town
Synokamianka,44.9715487,34.7794205,City/Town
Uchebne,44.9987786,34.880866,City/Town
Zybyny,45.2333039,34.6531205,City/Town
Melnyky,45.1942017,34.6173635,City/Town
Krynychne,45.0245216,34.609982,City/Town
Aleksieievka,44.953242,34.6624872,City/Town
Holovanivka,44.9756465,34.6333061,City/Town
Karasivka,44.9957,34.6052705,City/Town
Kyrpychne,45.024511,34.6353372,City/Town
Krasnoselivka,44.9291698,34.633746,City/Town
Yabluchne,45.0739212,34.60718,City/Town
Krymska Roza,45.0576087,34.3598374,City/Town
Vyshneve,45.0278145,34.3344691,City/Town
Kurske,45.0234583,34.9336444,City/Town
Topolivka,45.0097218,34.8782302,City/Town
Melnychne,45.19859,34.4198828,City/Town
Udarne,45.1987474,34.4706867,City/Town
Michurinske,45.0732959,34.7092967,City/Town
Lichebne,45.0503653,34.7481698,City/Town
Muromske,45.0917646,34.849053,City/Town
Dyvne,45.0528534,34.8350328,City/Town
Kryvtsove,45.0723174,34.8576845,City/Town
Sinne,45.0652307,34.8271468,City/Town
Khlibne,45.1243823,34.8439339,City/Town
Novozhylivka,45.1627079,34.2237683,City/Town
Annivka,45.2606449,34.3020341,City/Town
Novooleksandrivka,45.1915432,34.2841596,City/Town
Turhenieve,45.226182,34.2714345,City/Town
Rusakivka,45.1220442,34.473166,City/Town
Luhove,45.1491781,34.4921422,City/Town
Tsvitochne,45.0964233,34.3842096,City/Town
Dolynivka,45.137953,34.3838884,City/Town
Chornopillia,45.0447654,34.6367554,City/Town
Dozorne,45.0229442,34.7009259,City/Town
Kyzylivka,45.0013314,34.6766122,City/Town
Ulianovka,45.0024842,34.6538856,City/Town
Azovske,45.5844554,34.5709688,City/Town
Vilne,45.5655842,34.303698,City/Town
Yermakove,45.8511282,34.4868573,City/Town
Vitvyste,45.7902791,34.4194497,City/Town
Kopani,45.8478685,34.4633949,City/Town
Ostrovske,45.7650012,34.4283639,City/Town
Prydorozhnie,45.7916172,34.4376357,City/Town
Solone Ozero,45.8824665,34.4488214,City/Town
Stovpove,45.8254861,34.4649758,City/Town
Zavit-Leninskyi,45.8633258,34.3914798,City/Town
Zelenyi Yar,45.9001136,34.3510957,City/Town
Martynivka,45.8760009,34.3327657,City/Town
Milkovodne,45.8811606,34.4199335,City/Town
Pushkine,45.8446891,34.3869879,City/Town
Solontseve,45.8957358,34.2735353,City/Town
Zarichne,45.7370043,34.4808782,City/Town
Armiiske,45.7664635,34.4794797,City/Town
Bolotne,45.7334542,34.4553915,City/Town
Mytiuryne,45.7765474,34.518981,City/Town
Nyzynne,45.7717662,34.4980253,City/Town
Perepilkyne,45.7408476,34.5637756,City/Town
Sumizhne,45.7284468,34.5486289,City/Town
Izumrudne,45.7390495,34.4135607,City/Town
Dmytrivka,45.6965961,34.3564068,City/Town
Kalynivka,45.7488543,34.3317804,City/Town
Michurinivka,45.6942405,34.3685592,City/Town
Novostepove,45.6647025,34.3864748,City/Town
Ovocheve,45.7571001,34.3375854,City/Town
Kindratove,45.6327391,34.4756569,City/Town
Dorozhnie,45.6576276,34.4491352,City/Town
Rubynivka,45.5812107,34.4496986,City/Town
Sovietske,45.5695924,34.4932614,City/Town
Krymka,45.7061203,34.1883817,City/Town
Lobanove,45.7738413,34.2489841,City/Town
Zhylyne,45.762521,34.2593678,City/Town
Marine,45.7287512,34.2687841,City/Town
Ordenonosne,45.7341402,34.2946743,City/Town
Yasne,45.7743107,34.2667667,City/Town
Luhanske,45.804047,34.2344732,City/Town
Kovylne,45.7954728,34.2815403,City/Town
Probudzhennia,45.8310931,34.2472906,City/Town
Tutove,45.8287994,34.2012141,City/Town
Udarne,45.7849975,34.2657586,City/Town
Maiske,45.5902255,34.5534833,City/Town
Blyzhnie,45.5737983,34.5713606,City/Town
Laryne,45.550175,34.526423,City/Town
Oktiabr,45.6309078,34.5549811,City/Town
Polove,45.6121793,34.4964448,City/Town
Maslove,45.7919387,34.3672038,City/Town
Komsomolske,45.7758397,34.3947387,City/Town
Subotnyk,45.8274596,34.3956711,City/Town
Medvedivka,45.8815612,34.5522429,City/Town
Peredmistne,45.9449434,34.6185988,City/Town
Turhenieve,45.8873644,34.579438,City/Town
Myrnivka,45.6882131,34.3085135,City/Town
Dniprovka,45.7147339,34.3625569,City/Town
Kostiantynivka,45.6747811,34.3684063,City/Town
Rysakove,45.6558369,34.325617,City/Town
Tymofiivka,45.6632499,34.3624199,City/Town
Novokrymske,45.7783735,34.154147,City/Town
Istochne,45.8207734,34.1324551,City/Town
Pavlivka,45.7408532,34.1559212,City/Town
Pakharivka,45.8339329,34.1676797,City/Town
Vypasne,45.8771946,34.1797243,City/Town
Pobiedne,45.71277,34.4468327,City/Town
Nove Zhyttia,45.6641069,34.4978647,City/Town
Tarasivka,45.6744886,34.4489694,City/Town
Prostorne,45.6550972,34.6986336,City/Town
Antonivka,45.6960927,34.7765201,City/Town
Aprelivka,45.6884063,34.7442225,City/Town
Borodino,45.6398499,34.6789257,City/Town
Nyzhni Otrozhky,45.6643,34.6575696,City/Town
Slovianske,45.6851809,34.691387,City/Town
Stefanivka,45.7087523,34.7933404,City/Town
Rozkishne,45.6512816,34.1257627,City/Town
Zernove,45.6299079,34.1403178,City/Town
Roshchyne,45.607117,34.3792192,City/Town
Blyzhnohorodske,45.63796,34.3798629,City/Town
Krasnodolne,45.5795153,34.3621297,City/Town
Ozerne,45.650758,34.3921521,City/Town
Siernovodske,45.5796369,34.384816,City/Town
Svitle,45.6338611,34.6601405,City/Town
Blahodatne,45.6769384,34.771574,City/Town
Stalne,45.7055861,34.5614592,City/Town
Mnohovodne,45.7293626,34.5860927,City/Town
Novokostiantynivka,45.7004465,34.6330372,City/Town
Novopavlivka,45.6836544,34.6119166,City/Town
Novofedorivka,45.6653401,34.634827,City/Town
Ozerky,45.7024755,34.5426999,City/Town
Prozrachne,45.7358042,34.6565758,City/Town
Ridne,45.7100608,34.6208701,City/Town
Tabachne,45.6124759,34.6123643,City/Town
Novosiltseve,45.591286,34.6710935,City/Town
Fedorivka,45.5804923,34.6045596,City/Town
Khlibne,45.6441034,34.6082463,City/Town
Tsilynne,45.9051163,34.1794424,City/Town
Kolosky,45.8734634,34.2384437,City/Town
Tomashivka,45.9377143,34.1140904,City/Town
Chaikyne,45.8114698,34.5935089,City/Town
Mysove,45.8667979,34.701402,City/Town
Yarke,45.6927162,34.26495,City/Town
Yastrubtsi,45.6595784,34.1978258,City/Town
Yarke Pole,45.6116018,34.3174241,City/Town
Arbuzivka,45.6269322,34.3319313,City/Town
Vesele,45.5961431,34.3198462,City/Town
Vidradne,45.6075487,34.340583,City/Town
Dibrivka,45.5672795,34.3219126,City/Town
Nakhidka,45.607089,34.2767852,City/Town
Slovianka,45.6214186,34.2643081,City/Town
Timiriazieve,45.60645,34.3552974,City/Town
Yasnopolianske,45.9437887,34.3489325,City/Town
Volodyne,45.9385158,34.2860119,City/Town
Riumshyne,45.9695108,34.3190348,City/Town
Staryi Krym,45.0324119,35.0996126,City/Town
Kirovske,45.2326629,35.204246,City/Town
Abrykosivka,45.105476,35.1009772,City/Town
Babenkove,45.0977779,35.1285839,City/Town
Krynychky,45.0716542,35.1011245,City/Town
Matrosivka,45.1166638,35.1417481,City/Town
Vladyslavivka,45.1643851,35.3778736,City/Town
Vuzlove,45.1270435,35.4002655,City/Town
Zhuravky,45.1261765,35.2116377,City/Town
Vydne,45.0955503,35.2446318,City/Town
Makivske,45.1137797,35.2105414,City/Town
Novopokrovka,45.16985,35.2599504,City/Town
Tutivka,45.1122594,35.1991385,City/Town
Zolote Pole,45.1346783,34.9956206,City/Town
Vidrodzhennia,45.1722546,35.0317513,City/Town
Lhovske,45.0961712,34.9542041,City/Town
Dobroliubovka,45.0909642,34.8782527,City/Town
Dolynne,45.0602352,34.9272249,City/Town
Prudy,45.1248813,34.8954363,City/Town
Partyzany,45.1380514,35.1505788,City/Town
Spasivka,45.137348,35.106939,City/Town
Pervomaiske,45.0628026,35.1665611,City/Town
Vidvazhne,45.033456,35.2179378,City/Town
Zhemchuzhyna Krymu,45.0983078,35.1879351,City/Town
Izobilne,45.1097021,35.204259,City/Town
Iziumivka,45.0451676,35.139481,City/Town
Kliuchove,45.0472767,35.2026091,City/Town
Sadove,45.0933034,35.1972603,City/Town
Pryvitne,45.1184781,35.0588131,City/Town
Aivazovske,45.1089334,35.0760363,City/Town
Synytsyne,45.2381831,35.2480752,City/Town
Vasylkove,45.2073994,35.3191825,City/Town
Krasnivka,45.2464441,35.3019668,City/Town
Tokarieve,45.2791171,35.1493379,City/Town
Shubyne,45.2757891,35.2116673,City/Town
Yarke Pole,45.211432,35.199562,City/Town
Krasnosilske,45.1846991,35.1921152,City/Town
