name,latitude,longitude,inf_type,population
Dubrovytsia,51.5709462,26.5660889,City/Town,9359
Kodyma,48.09482855,29.120450643867407,City/Town,8514
Irshava,48.31924,23.0417599,City/Town,9223
Berezivka,49.9043196,36.0674414,City/Town,9527
Ananiv,47.7178669,29.9601889,City/Town,7789
Monastyryshche,48.9944069,29.8007253,City/Town,8425
Lypovets,49.2296415,29.0642148,City/Town,8093
Vylkove,45.40306,29.58309,City/Town,7804
Radekhiv,50.2808744,24.6397908,City/Town,9746
Mostyska,49.79235,23.147933,City/Town,9188
Artemivsk,,,City/Town,7203
Novodruzhesk,48.963397,38.3519615,City/Town,6806
Zavodske,48.9995988,25.8551013,City/Town,7832
Alupka,44.4185851,34.03760282120862,City/Town,8087
Horokhiv,50.4976536,24.75947481787056,City/Town,8996
Pryvillia,48.99971,38.30109,City/Town,6679
Chop,48.4310953,22.2096148,City/Town,8765
Zastavna,48.5224375,25.8457245,City/Town,7807
Zorynsk,48.41632,38.61634198604317,City/Town,7128
Tlumach,48.8665866,25.0011978,City/Town,8770
Teplodar,46.5050729,30.3272329,City/Town,10081
Lanivtsi,49.8734191,26.0780148,City/Town,8323
Busk,49.965355,24.6089531,City/Town,8695
Korets,50.6194566,27.159712,City/Town,6982
Rohatyn,49.4092703,24.6105811,City/Town,7649
Pivdenne,49.8847449,36.0666511,City/Town,7394
Dubliany,49.9026751,24.0876223,City/Town,9793
Rzhyshchiv,49.96822,31.04118,City/Town,7277
Novoselytsia,49.631416,27.250715,City/Town,7514
Vorozhba,51.1722411,34.2245008,City/Town,6809
Kosiv,48.315802,25.0983417,City/Town,8463
Pochaiv,50.0017638,25.5110926,City/Town,7691
Rava-Ruska,50.230654,23.6240014,City/Town,8586
Molochansk,47.20653,35.59742,City/Town,6224
Yaremche,48.4504129,24.550955,City/Town,8004
Turka,49.1531436,23.0336345,City/Town,6968
Kitsman,48.4386498,25.7610109,City/Town,6135
Peremyshliany,49.6693553,24.5584141,City/Town,6552
Blahovishchenske,48.327711,30.2344886,City/Town,5943
Seredyna-Buda,52.1886906,34.0306022,City/Town,6963
Zboriv,49.6645222,25.1386197,City/Town,6664
Khorostkiv,49.2121531,25.9168525,City/Town,6703
Oster,50.9508278,30.8782419,City/Town,5655
Sharhorod,48.7498267,28.08317,City/Town,7062
Perechyn,48.73707,22.48764,City/Town,6557
Oleksandrivsk,48.585751,39.1897675,City/Town,6427
Kopychyntsi,49.1068616,25.9085276,City/Town,6587
Skole,49.0378559,23.5140979,City/Town,6104
Zalizne,48.3734757,37.8822759,City/Town,5020
Sudova Vyshnia,49.7880934,23.3732553,City/Town,6504
Halych,49.123317,24.7299495,City/Town,6155
Morshyn,49.1536011,23.8700537,City/Town,5690
Monastyryska,49.0908395,25.1717816,City/Town,5492
Miusynsk,48.0903691,38.8930289,City/Town,4603
Vashkivtsi,48.38115265,25.503708087162217,City/Town,5312
Velyki Mosty,50.240162,24.1385486,City/Town,6312
Druzhba,52.0476694,33.9429257,City/Town,4594
Staryi Sambir,49.44406,23.0022677,City/Town,6518
Broshniv-Osada,48.9958991,24.1858656,City/Town,5482
Shumsk,50.1183638,26.1186214,City/Town,5366
Sviatohirsk,49.0337642,37.5575696,City/Town,4309
Almazna,48.5248544,38.5840447,City/Town,4168
Svarychiv,48.959156,24.186478,City/Town,—
Vyzhnytsia,48.24352,25.157904565963317,City/Town,3875
Maydanetske,48.80617025,30.702908902167472,City/Town,—
Dobromyl,49.5710282,22.7851508,City/Town,4168
Rudky,49.6544518,23.4873856,City/Town,5278
Khyriv,49.5335126,22.8500099,City/Town,4152
Skalat,49.4247925,25.9775084,City/Town,3814
Komarno,49.6260714,23.6969962,City/Town,3707
Bibrka,49.6375183,24.2973288,City/Town,3810
Novyi Kalyniv,49.5582869,23.3022432,City/Town,4256
Hlyniany,49.8220371,24.5165092,City/Town,3005
Pidhaitsi,49.2680238,25.1361578,City/Town,2661
Baturyn,51.3413087,32.8778317,City/Town,2458
Belz,50.3823942,24.0127629,City/Town,2229
Ustyluh,50.85956285,24.154492169364275,City/Town,2082
Hertsa,48.1505805,26.2589723,City/Town,2108
Berestechko,50.3585756,25.1209852,City/Town,1634
Chernobyl,51.2705477,30.2195609,City/Town,1054
Uhniv,50.367231,23.7470971,City/Town,952
Pripyat,51.4059655,30.0573963,City/Town,0
