name,latitude,longitude,inf_type,population
Bahna,48.2241917,25.2275771,City/Town,
Bahnuvate,49.0606072,23.1513798,City/Town,
Bahny,49.2823721,33.4784325,City/Town,
Bahovytsia,48.620714,26.7184843,City/Town,
Bahryn,50.216085,30.2150971,City/Town,
Bahrynivka,47.9804912,25.9495891,City/Town,
Bahrynivtsi,49.298578,27.9283916,City/Town,
Bahva,49.132817,30.5208286,City/Town,
Baibuzivka,48.1145698,29.9133653,City/Town,
Baibuzy,49.4697322,31.6641214,City/Town,
Baidakivka,48.6273634,33.8065645,City/Town,
Baidakove,48.8343552,33.3540224,City/Town,
Baidivka,49.1645124,38.9133943,City/Town,
Baikha,51.0976937,34.5444704,City/Town,
Baikivka,48.4142677,33.9517744,City/Town,
Baikivtsi,51.1613209,25.0310031,City/Town,
Baimaky,50.0628012,26.2268607,City/Town,
Bairachky,48.3893269,38.5973991,City/Town,
Bairak,49.7190361,34.3678089,City/Town,
Bairakivka,49.0570392,28.7794134,City/Town,
Bairaky,48.1142371,26.1286967,City/Town,
Baitaly,47.8064155,29.8323042,City/Town,
Baiv,50.6958431,25.2240011,City/Town,
Bakai,47.4144898,31.4995375,City/Town,
Bakaieve,49.6914244,32.4742388,City/Town,
Bakaivka,50.888891,32.137341,City/Town,
Bakalove,46.8817198,30.1164452,City/Town,
Bakaly,49.7029341,30.0447208,City/Town,
Bakhany,51.7595292,30.8556078,City/Town,
Bakhchivka,45.612723,33.4197202,City/Town,
Bakhchovyk,47.4768477,37.6861299,City/Town,
Bakhchysarai,44.7481787,33.8566262,City/Town,
Bakhiv,51.260194,24.7490639,City/Town,
Bakhmach,51.2022451,32.7839382,City/Town,
Bakhmativtsi,49.4181826,27.2008941,City/Town,
Bakhmetivka,49.8005373,35.8374791,City/Town,
Bakhmut,48.5964618,38.0006376,City/Town,
Bakhmutivka,48.8653881,39.0526563,City/Town,
Bakhmutske,48.660338,38.0999091,City/Town,
Bakhtyn,48.8087443,27.4861977,City/Town,
Bakhtynok,48.8083813,27.4687404,City/Town,
Bakivtsi,49.5405786,24.3672302,City/Town,
Baklanova Muraviika,51.4133341,31.4472472,City/Town,
Baklanove,51.05604,32.0527304,City/Town,
Bakoryn,50.7011723,25.6702394,City/Town,
Bakosh,48.3702414,22.3505177,City/Town,
Bakoty,49.8600735,25.6509356,City/Town,
Baksha,48.0131074,29.9838512,City/Town,
Baksharivka,49.1858395,36.599389,City/Town,
Baksheivka,50.2057629,37.2139167,City/Town,
Bakumivka,50.3777012,31.4352091,City/Town,
Bakuty,50.5033974,34.2260529,City/Town,
Bakyrivka,50.3868602,35.022143,City/Town,
Balabanivka,49.1145191,29.6123329,City/Town,
Balabanka,45.7665953,29.8546682,City/Town,
Balabushyni Verby,49.3733575,33.4273389,City/Town,
Balabyne,47.7382482,35.2172533,City/Town,
Balahan,48.2918575,37.2977369,City/Town,
Balaichuk,47.0910205,30.7059313,City/Town,
Balakhivka,48.4644509,33.1798187,City/Town,
Balakhovychi,51.2806594,25.9442129,City/Town,
Balakleia,49.230991,31.7279686,City/Town,
Balakliia,49.4628203,36.8786912,City/Town,26921
Balakyrivka,49.3501169,38.923291,City/Town,
Balakyry,49.1645473,26.7114373,City/Town,
Balamutivka,49.3118121,27.0414837,City/Town,
Balandy,49.6543006,33.8266955,City/Town,
Balandyne,48.9430608,31.9565116,City/Town,
Balanivka,48.4139201,29.3946079,City/Town,
Balanove,46.8642179,31.6083461,City/Town,
Balanyny,46.9747412,30.6028767,City/Town,
Balashivka,50.9954259,26.9631303,City/Town,
Balashove,46.6749329,34.4037659,City/Town,
Balazher,48.2481434,22.6049293,City/Town,
Baliasne,50.3487034,33.7806514,City/Town,
Baliasy,51.9949339,32.3403845,City/Town,
Baliuky,49.7345402,33.6253773,City/Town,
Balivka,49.3806901,34.4218335,City/Town,
Balka,50.0454504,37.3704844,City/Town,
Balkivka,48.7624327,27.5392086,City/Town,
Balkivtsi,49.5513498,26.2741255,City/Town,
Balkove,48.2822246,33.6655873,City/Town,
Balky,47.3813865,34.9664537,City/Town,
Balochky,47.482076,36.4587757,City/Town,
Balochne,48.1147369,38.5501149,City/Town,
Balovne,47.0505589,31.883246,City/Town,
Balta,47.9363162,29.6225979,City/Town,18079
Baltazarivka,46.4171469,33.4086278,City/Town,
Baluchyn,49.8534761,24.5644093,City/Town,
Balychi,49.7686905,23.0229261,City/Town,
Balyko-Shchuchynka,49.9447989,31.1239597,City/Town,
Balyn,49.3511651,28.1974128,City/Town,
Balynivka,48.9056494,26.6345543,City/Town,
Balyntsi,48.5502803,25.29776,City/Town,
Bancheny,48.2033109,26.1924764,City/Town,
Bandurivka,48.7447843,32.9485934,City/Town,
Bandurka,48.1421688,31.0269542,City/Town,
Bandurove,48.9140399,32.0381075,City/Town,
Bandury,50.2514224,34.6599143,City/Town,
Bandyshivka,48.4063818,27.997509,City/Town,
Bania Lysovytska,49.1324256,23.8844104,City/Town,
Bania-Bereziv,48.4225062,24.7671532,City/Town,
Baniunyn,49.9556682,24.3943413,City/Town,
Banivka,46.7461738,36.3727414,City/Town,
Bannivka,45.688831,28.9217773,City/Town,
Banychi,51.5024161,33.9107918,City/Town,
Banyliv,48.3597799,25.3366949,City/Town,
Banyliv-Pidhirnyi,48.0942474,25.4956363,City/Town,
Bar,49.0778949,27.6814809,City/Town,15563
Barabanivske,52.0431452,31.3950144,City/Town,
Barabanove,44.9807765,34.3222317,City/Town,
Barabashivka,49.1164309,37.0522344,City/Town,
Baraboi,46.2926046,30.5096103,City/Town,
Barakhty,50.1152556,30.3681437,City/Town,
Baranivka,49.1475157,26.9999131,City/Town,
Baranivtsi,49.6217377,23.1818722,City/Town,
Baranne,50.1823588,25.2654288,City/Town,
Baranove,46.9345579,30.4121368,City/Town,
Baranycheve,49.7479339,38.1197846,City/Town,
Baranykivka,49.1588122,39.8369688,City/Town,
Baranyntsi,48.5695194,22.3260324,City/Town,
Barashi,50.7163375,28.0273779,City/Town,
Barashivka,50.274931,28.5437462,City/Town,
Barativka,46.944935,32.778196,City/Town,
Barbovo,48.3360648,22.765185,City/Town,
Barburske,50.9978028,32.2035538,City/Town,
Barchany,49.945092,35.8538656,City/Town,
Bardy,51.0377146,28.7436354,City/Town,
Barkasovo,48.3655479,22.4906914,City/Town,
Barkove,47.9319401,34.7259286,City/Town,
Barmaky,50.6402019,26.3029515,City/Town,
Barok,48.848852,27.6831043,City/Town,
Bartativ,49.7972022,23.8247627,City/Town,
Bartoshivka,49.3784194,25.1186198,City/Town,
Bartukha,50.1559581,28.1668557,City/Town,
Barvinivka,47.81317,35.9264206,City/Town,
Barvinkiv,48.1204857,25.0338932,City/Town,
Barvinkove,50.7667798,32.7485823,City/Town,
Barvinky,50.8209445,28.9763753,City/Town,
Barvinok,48.4765354,34.4295853,City/Town,
Barvinshchyna,49.9684151,33.2453732,City/Town,
Barvynivka,50.4994295,27.8222894,City/Town,
Barykyne,49.2890103,38.4008271,City/Town,
Baryliv,50.3447895,24.8661881,City/Town,
Barylivka,50.9920201,35.053704,City/Town,
Barylivshchyna,49.7410011,33.5090824,City/Town,
Barylo,51.0680728,34.4570595,City/Town,
Barylove,49.7961361,33.4633736,City/Town,
Barysh,49.01139,25.2516061,City/Town,
Baryshivka,50.3528929,31.3184425,City/Town,
Basalychivka,48.728161,29.2571016,City/Town,
Basan,47.4192508,36.1305029,City/Town,
Basharivka,50.1017585,25.3534677,City/Town,
